ID,snippet1,snippet2,harder,reason,_golden
11,"The first thing a doctor will do is to take an x-ray to see where the break is. An x-ray is a picture, taken by a special machine, of the inside of your body. Once the doctor has an x-ray, he can see what a person’s bones look like and if one is broken. ","Acoustics is the interdisciplinary science that deals with the study of all mechanical waves in gases, liquids, and solids including topics such asvibration, sound, ultrasound and infrasound. A scientist who works in the field of acoustics is an acoustician while someone working in the field of acoustics technology may be called an acoustical engineer. The application of acoustics is present in almost all aspects of modern society with the most obvious being the audio and noise control industries.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
12,"Hearing is one of the most crucial means of survival in the animal world, and speech is one of the most distinctive characteristics of human development and culture. Accordingly, the science of acoustics spreads across many facets of human society—music, medicine, architecture, industrial production, warfare and more. Likewise, animal species such as songbirds and frogs use sound and hearing as a key element of mating rituals or marking territories.","If it is a complex fracture, the doctor might have to operate to put the pieces back together before putting on a cast. If it is a simple fracture, many times the doctor can use the cast to keep the bones in the right place so they can heal.  A cast is made of wet bandages put around the part of your body with the break, and the bandages harden so the bones cannot move. ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
13,"The human body is very good at fixing itself when a part of the body is injured. When there is a fracture, the body sends lots of blood to the area to bring nutrients to the injury. The bones will then use those nutrients and start to grow. ","An anode is an electrode through which conventional current flows into a polarized electrical device. A common mnemonic is ACID for ""anode current into device"".  The direction of (positive) electric current is opposite to the direction of electron flow: (negatively charged) electrons flow out the anode to the outside circuit.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
14,The boiling point of a liquid varies depending upon the surrounding environmental pressure. A liquid in a partial vacuum has a lower boiling point than when that liquid is at atmospheric pressure. A liquid at high pressure has a higher boiling point than when that liquid is at atmospheric pressure. ,Once the bones heal back together the cast be removed.  A special saw is used to remove the cast. The process of removing the cast does not hurt. ,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
15,“Run!” I yelled to my brother as we leaped from behind my grandfather’s chair and shot out the back door to hide behind the shed. Some spies we were. We didn’t even make it past Nana and Paps snoring the afternoon away in their recliners.,"On the high ground where the enemy was, the smoke of a cannon rose, and a ball flew whistling over the heads of the hussar squadron. The officers who had been standing together rode off to their places. The hussars began carefully aligning their horses. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
16,"Their sabers catching in the bridles and their spurs jingling, the hussars hastily dismounted, not knowing what they were to do. The men were crossing themselves. Rostov no longer looked at the colonel, he had no time. ","“You always get us caught,” said my brother as we made a new plan to sneak into the house. “Me?” I asked. “If you hadn’t bumped your head on the table or tripped over the lamp cord, we might have made it.” ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
17,"We hatched a new plan. Our mission centered around a plate of chocolate chip cookies cooling on the small table against the wall in the kitchen. There were only two ways in and out of the kitchen, and one of those was locked. ",The Emperor thanked Prince Andrew and bowed. Prince Andrew withdrew and was immediately surrounded by courtiers on all sides. Everywhere he saw friendly looks and heard friendly words. ,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
18, Across the threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him. The ring of bay and skyline held a dull green mass of liquid. A bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting.,On hands and knees we crawled between the hedge and the house toward the back door.  I could smell crushed leaves and could feel small sticks biting into my palms. I could hear my brother behind me slapping the buzz of mosquitoes away from his ears. ,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
19,My brother held the bottom corner of the door as I crawled onto the crushed brown carpet directly behind the recliners. I could hear the whistle-snore of my grandfather and the soft breathy snort of my grandmother. My brother wriggled through the screen door and held it as it closed quietly behind him. ,Folded away in the memory of nature with her toys. Memories beset his brooding brain. Her glass of water from the kitchen tap when she had approached the sacrament.,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
20,"The key scraped round harshly twice and, when the heavy door had been set ajar, welcome light and bright air entered. Haines stood at the doorway, looking out. Stephen haled his upended valise to the table and sat down to wait. ","I couldn’t risk standing up, so I reached above my head to grab a cookie from the plate. I couldn’t see the cookies from my vantage point, but I knew they were there. I reached into the middle of the plate, but the only thing I felt was a folded piece of paper. ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
21,"Helen Keller was born June 27, 1880, in Tuscumbia, Alabama.  Though not wealthy, her father owned a cotton plantation, and was the editor of a weekly newspaper called The Alabamian.  Helen’s growth was normal until she was 19 months old when she became very ill with a high fever. ","He watched her pour into the measure and thence into the jug rich white milk, not hers. Old shrunken paps. She poured again a measureful and a tilly.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
22,"Structural functionalism, or simply functionalism, is a framework for building theory that sees society as a complex system whose parts work together to promote solidarity and stability.  This approach looks at society through a macro-level orientation, which is a broad focus on the social structures that shape society as a whole, and believes that society has evolved like organisms.  This approach looks at both social structure and social functions.","Helen’s high fever eventually went away, and it looked like she would get better, but Helen’s mother noticed that she did not respond to sounds like the dinner bell, and she did not blink if somebody waved a hand in front of her face. Helen survived the illness but lost her eyesight and hearing. Helen was blind and deaf. ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
23,"Helen was frustrated because she could not see or hear and had to rely on touch to discover the world.  This frustration led to many behavior problems; Helen had terrible temper tantrums and horrible table manners. At dinner, she would move around the table eating off everyone’s plates. ","In sociology and political philosophy, the term critical theory describes the neo-Marxist philosophy of the Frankfurt School, which was developed in Germany in the 1930s. Frankfurt theorists drew on the critical methods of Karl Marx and Sigmund Freud. Critical theory maintains that ideology is the principal obstacle to human liberation.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
24,"Clinical trials are experiments done in clinical research. Such prospective biomedical or behavioral research studies on human participants are designed to answer specific questions about biomedical or behavioral interventions, including new treatments (such as novel vaccines, drugs, dietary choices, dietary supplements, and medical devices) and known interventions that warrant further study and comparison. Clinical trials generate data on safety and efficacy.","Her relatives thought she needed to be placed in an institution because her parents could not control her. Helen’s mother decided to look for help, and she found a doctor who specialized in the deaf and blind. This doctor told her to contact Dr. Alexander Graham Bell, the inventor of the telephone, who also worked with the deaf.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
25,"Anne suffered from vision problems herself but had operations to improve her eyesight. Despite the operations, Anne had trouble finding a job. When the offer came to teach Helen, Anne agreed even though she had no experience teaching the deaf and blind. ",In the social sciences there is a standing debate over the primacy of structure or agency in shaping human behavior. Structure is the recurrent patterned arrangements which influence or limit the choices and opportunities available.  Agency is the capacity of individuals to act independently and to make their own free choices,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
26,"Often used in the social sciences, and especially in economic analyses of education and health interventions, field experiments have the advantage that outcomes are observed in a natural setting rather than in a contrived laboratory environment. For this reason, field experiments are sometimes seen as having higher external validity than laboratory experiments. However, like natural experiments, field experiments suffer from the possibility of contamination: experimental conditions can be controlled with more precision and certainty in the lab.","Anne began by teaching Helen to finger spell and by trying to correct Helen’s bad behavior. Helen’s behavior improved, but she did not truly understand finger spelling until April 5, 1887, when Anne poured water into one of Helen’s hands and finger spelled the word water on the palm of Helen’s other hand.  Helen finally understood what Anne was saying, and from that point, Helen quickly learned hundreds of words.  ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
27,"Helen eventually learned Braille, an alphabet of raised dots that blind people feel with their fingers and even went on to graduate from college with Anne by her side the entire time. Helen became a writer and lecturer, working to improve life for blind and deaf people. Anne worked with Helen translating so audiences could hear what Helen had written or signed.  "," For Giddens, an agent's common interaction with structure, as a system of norms, is described as ""structuration"". The term ""reflexivity"" is used to refer to the ability of an agent to consciously alter his or her place in the social structure; thus globalization and the emergence of the 'post-traditional' society might be said to allow for ""greater social reflexivity"". Social and political sciences are therefore important because social knowledge, as self-knowledge, is potentially emancipatory.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
28,Liberal feminism is the belief that individuals should be free to develop their own talents and pursue their interests. Individuals seek to expand equality by removing the barriers in society. Socialist feminism thinks that capitalism strengthens patriarchy by concentrating wealth and power in the hands of a few.,"There are almost 400 different kinds of sharks. Each kind of shark looks different, has a unique diet, and behaves differently. There are sharks in the four oceans of the world.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
29,"Some sharks are longer than a school bus, while others are so small they can live in fish tanks. Sharks come in all kinds of colors. Most of the time, their skin color helps them blend in with their surroundings.","By the time children reach the age of three, many will have acquired a firm sense of themselves as male or female, a gender identity that remains throughout life. In addition, many pre-schoolers develop a firm awareness of gender stereotypes, insisting that certain activities or items of clothing are not for girls and others not for boys. Yet gender identity does not automatically follow from biological sex.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
30,"Positivism is a philosophical theory stating that positive knowledge is based on natural phenomena and their properties and relations. Thus, information derived from sensory experience, interpreted through reason and logic, forms the exclusive source of all authoritative knowledge. Positivism holds that valid knowledge (certitude or truth) is found only in this derived knowledge.",Sharks are actually a type of fish. There are some similarities as well as differences between sharks and typical fish. Shark skeletons are made of cartilage.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
31,"Fish skeletons are made of bones. Cartilage is the bendy, tough substance in people’s ears and noses. Like other fish, sharks have gills that help them breathe.","In the early 20th century, logical positivism—a descendant of Comte's basic thesis but an independent movement—sprang up in Vienna and grew to become one of the dominant schools in Anglo-American philosophy and the analytic tradition. Logical positivists (or 'neopositivists') rejected metaphysical speculation and attempted to reduce statements and propositions to pure logic. Strong critiques of this approach by philosophers such as Karl Popper, Willard Van Orman Quine and Thomas Kuhn have been highly influential, and led to the development ofpostpositivism.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
32,"Conflict theory emphasizes interests, rather than norms and values, in conflict. The pursuit of interests generates various types of conflict. Thus conflict is seen as a normal aspect of social life rather than an abnormal occurrence.","Unlike fish, people use lungs to get oxygen from the air. Fish get oxygen from the water using their gills. Water needs to move over the gills so the sharks can get enough oxygen.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
33,"Sharks have a lot of teeth. Sharks have many rows of teeth, rather than just one row like people. The teeth from the outside row gradually fall out."," Developed by science and technology studies (STS) scholars Michel Callon and Bruno Latour, the sociologist John Law, and others, it can more technically be described as a ""material-semiotic"" method. This means that it maps relations that are simultaneously material (between things) and semiotic (between concepts). It assumes that many relations are both material and semiotic.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
34,"When an actor network breaks down, the punctualisation effect tends to cease as well. In the automobile example above, a non-working engine would cause the driver to become aware of the car as a collection of parts rather than just a vehicle capable of transporting him or her from place to place. This can also occur when elements of a network act contrarily to the network as a whole.",Each species of shark has different kinds of teeth and they eat various kinds of food. Some sharks eat food as small as plankton. Other sharks eat animals as big as sea turtles.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
35,Most sharks do not eat very often. Some sharks will go weeks between meals. Sharks are at the top of the ocean food chain.," The works of Karl Marx and Max Weber emphasized the relationship between religion and the economic or social structure of society. Contemporary debates have centered on issues such as secularization, civil religion, and the cohesiveness of religion in the context of globalization and multiculturalism. The contemporary sociology of religion may also encompass the sociology of irreligion (for instance, in the analysis of secular humanist belief systems).",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
36,"Amino acids are biologically important organic compounds containing amine (-NH2) and carboxylic acid (-COOH) functional groups, usually along with a side-chain specific to each amino acid.   The key elements of an amino acid are carbon, hydrogen, oxygen, and nitrogen, though other elements are found in the side-chains of certain amino acids.  About 500 amino acids are known and can be classified in many ways.","I froze in place as a cloud of honeybees buzzed around my head and arms. My only hope was that the big fancy net I was wearing would keep the bees out. You see, my friend Frank is a beekeeper.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
37,"Frank needed some more hives, so he called a nearby bee ranch to order two boxes of bees. A few days later, the buzzing, pulsating boxes arrived at the post office. Each box was filled with more than ten thousand bees.","In 1806, French chemists Louis-Nicolas Vauquelin and Pierre Jean Robiquet isolated a compound in asparagus that was subsequently named asparagine, the first amino acid to be discovered.  Cystine was discovered in 1810,  although its monomer, cysteine, remained undiscovered until 1884.  Glycine and leucine were discovered in 1820.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
38,"Every solid, liquid, gas, and plasma is composed of neutral or ionized atoms. Atoms are very small; typical sizes are around 100 pm (a ten-billionth of a meter, in the short scale).  However, atoms do not have well defined boundaries, and there are different ways to define their sizewhich give different but close values.","Honeybees had always seemed scary to me. But as I watched Frank work, I learned something. I learned that if you know how to handle bees the right way, beekeeping can be a great hobby.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
39,"For hives, beekeepers use boxes with narrow wooden frames hanging inside. On each frame is a sheet of thin wax. The honeybees produce more wax from their bodies to make six-sided boxes, called cells, on these sheets.","There are approximately ten times as many bacterial cells in the human flora as there are human cells in the body, with the largest number of the human flora being in the gut flora, and a large number on the skin. The vast majority of the bacteria in the body are rendered harmless by the protective effects of the immune system, and some are beneficial. However, several species of bacteria arepathogenic and cause infectious diseases, including cholera, syphilis, anthrax, leprosy, and bubonic plague.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
40,"The ancestors of modern bacteria were unicellular microorganisms that were the first forms of life to appear on Earth, about 4 billion years ago. For about 3 billion years, most organisms were microscopic, and bacteria and archaea were the dominant forms of life. In 2008, fossils of macroorganisms were discovered and named as the Francevillian biota.","Frank sprayed sugar water on the mass of bees in the center of the mailing box. For a few minutes, this makes their wings too sticky to fly. Then he reached in for the tiny box containing the queen bee.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
41,"Moving quietly, he dumped the rest of the honeybees from the mailing box into the hive. After spraying the queen with sugar water, he took her out of the special box and placed her in her new home. He covered the top of the hive with a lid.","But now all at once he felt a desire to be with other people. Something new seemed to be taking place within him, and with it he felt a sort of thirst for company. He was so weary after a whole month of concentrated wretchedness and gloomy excitement that he longed to rest, if only for a moment, in some other world, whatever it might be; and, in spite of the filthiness of the surroundings, he was glad now to stay in the tavern.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
42,"At that moment a whole party of revellers already drunk came in from the street, and the sounds of a hired concertina and the cracked piping voice of a child of seven singing ""The Hamlet"" were heard in the entry. The room was filled with noise. The tavern-keeper and the boys were busy with the new-comers","Next, Frank opened a little door at the bottom of the hive. This would let the honeybees fly in and out to gather nectar and pollen for the hive. Honeybees use nectar to make honey.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
43,"Thomas Alva Edison lit up the world with his invention of the electric light.  Without him, the world might still be a dark place.  However, the electric light was not his only invention.  ","A grimy little door at the very top of the stairs stood ajar. A very poor-looking room about ten paces long was lighted up by a candle-end; the whole of it was visible from the entrance. It was all in disorder, littered up with rags of all sorts, especially children's garments.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
44," In the context of biomass as a resource for making energy, it most often refers to plants or plant-based materials which are not used for food or feed, and are specifically called lignocellulosic biomass .  As an energy source, biomass can either be used directly via combustion to produce heat, or indirectly after converting it to various forms of biofuel. Conversion of biomass to biofuel can be achieved by different methods which are broadly classified  into: thermal, chemical, and biochemical methods.","Thomas A. Edison was born in Milan, Ohio, on February 11, 1847.  His family moved to Port Huron, Michigan, when he was seven years old.  Surprisingly, he attended school for only two months. ",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
45,"When he was 12 years old, he got his first job.  He became a newsboy on a train that ran between Port Huron and Detroit.  He set up a laboratory in a baggage car of the train so that he could continue his experiments in his spare time.  ","Fitness is often defined as a propensity or probability, rather than the actual number of offspring. For example, according to Maynard Smith, ""Fitness is a property, not of an individual, but of a class of individuals — for example homozygous for allele A at a particular locus. Thus the phrase ’expected number of offspring’ means the average number, not the number produced by some one individual.",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
46,When an electrochemical signal stimulates a neuron it causes changes in the electrical potential across the neuron’s plasma membrane. This change in the membrane potential will passively spread across the dendrite but becomes weaker with distance without an action potential. The action potential propagates the electrical activity along the membrane of the dendrite to the cell body and then afferently down the axon to the terminal buttons where it crosses the synapse.,"Edison then worked for five years as a telegraph operator, but he continued to spend much of his time on the job conducting experiments.  He got his first patent in 1868 for a vote recorder run by electricity.  However, the vote recorder was not a success",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
47,"Thomas Edison was totally deaf in one ear and hard of hearing in the other, but thought of his deafness as a blessing in many ways.  It kept conversations short, so that he could have more time for work.  He called himself a ""two-shift man"" because he worked 16 out of every 24 hours. ",Little is known about the process by which dendrites orient themselves in vivo and are compelled to create the intricate branching pattern unique to each specific neuronal class. One theory on the mechanism of dendritic arbor development is the Synaptotropic Hypothesis. The synaptotropic hypothesis proposes that input from a presynaptic to a postsynaptic cell (and maturation of excitatory synaptic inputs) eventually can change the course of synapse formation at dendritic and axonal arbors.,2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
48,"In living organisms DNA does not usually exist as a single molecule, but instead as a pair of molecules that are held tightly together.  These two long strands entwine like vines, in the shape of a double helix. The nucleotide repeats contain both the segment of the backbone of the molecule, which holds the chain together, and a nucleobase, which interacts with the other DNA strand in the helix.",Hurricanes are large tropical storms that develop in the oceans of the world. Hurricanes gather heat and energy from the warm ocean water. The heat from these warm currents increases the power of the hurricane.,1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
49,"Hurricanes that remain over warm water usually get bigger and stronger, but they weaken once they get over land. Hurricanes are storms that are given names, and a new list of names is created each year. The first hurricane name starts with the letter A, like Ashley, and the names move through the alphabet as more hurricanes form.","A gene is a sequence of DNA that contains genetic information and can influence the phenotype of an organism. Within a gene, the sequence of bases along a DNA strand defines a messenger RNA sequence, which then defines one or more protein sequences. The relationship between the nucleotide sequences of genes and the amino-acid sequences of proteins is determined by the rules of translation, known collectively as thegenetic code. ",2,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
50,"The number of protons in the nucleus defines to what chemical element the atom belongs: for example, all copper atoms contain 29 protons. The number of neutrons defines the isotope of the element.  The number of electrons influences the magnetic properties of an atom.","Hurricane clouds move in a circle around a point called the eye, which is the center of the storm. To be called a hurricane, a storm must have wind speeds of at least 74 miles per hour. When a hurricane comes ashore, there are heavy rains, large waves and strong winds that cause damage to buildings, cars and trees.",1,"This answer is correct because the ""harder"" passage has some combination of: longer sentences, less familiar terms, more complicated grammar and generally requires a greater level of education to appreciate its point.",TRUE
