ID,snippet1,snippet2,harder,reason,docID1,docID2,_golden
11,"To give security to our principal ports considerable sums have already been expended, but the works remain incomplete.  It is for Congress to determine whether additional appropriations shall be made in order to render competent to the intended purposes the fortifications which have been commenced.  The manufacture of arms within the United States still invites the attention of the National Legislature.","Another important acquisition of territory has also been made since the last session of Congress.  The friendly tribe of Kaskaskia Indians, with which we have never had a difference, reduced by the wars and wants of savage life to a few individuals unable to defend themselves against the neighboring tribes, has transferred its country to the United States, reserving only for its members what is sufficient to maintain them in an agricultural way.  The considerations stipulated are that we shall extend to them our patronage and protection and give them certain annual aids in money, in implements of agriculture, and other articles of their choice.",,,12,15,
12,"To give security to our principal ports considerable sums have already been expended, but the works remain incomplete.  It is for Congress to determine whether additional appropriations shall be made in order to render competent to the intended purposes the fortifications which have been commenced.  The manufacture of arms within the United States still invites the attention of the National Legislature.","While we regret the miseries in which we see others involved, let us bow with gratitude to that kind Providence which, inspiring with wisdom and moderation our late legislative councils while placed under the urgency of the greatest wrongs guarded us from hastily entering into the sanguinary contest and left us only to look on and pity its ravages.  These will be heaviest on those immediately engaged.  Yet the nations pursuing peace will not be exempt from all evil.",,,12,15,
13,I observe with much satisfaction that the product of the revenue during the present year has been more considerable than during any former equal period.  This result affords conclusive evidence of the great resources of this country and of the wisdom and efficiency of the measures which have been adopted by Congress for the protection of commerce and preservation of public credit.  Gentlemen of the Senate and Gentlemen of the House of Representatives:,"This country, among the most fertile within our limits, extending along the Mississippi from the mouth of the Illinois to and up to the Ohio, though not so necessary as a barrier since the acquisition of the other bank, may yet be well worthy of being laid open to immediate settlement, as its inhabitants may descend with rapidity in support of the lower country should future circumstances expose that to foreign enterprise.  As the stipulations in this treaty involve matters with the competence of both Houses only, it will be laid before Congress as soon as the Senate shall have advised its ratification.  With many of the other Indian tribes improvements in agriculture and household manufacture are advancing, and with all our peace and friendship are established on grounds much firmer than heretofore.",,,12,15,
14,"I congratulate the people of the United States on the assembling of Congress at the permanent seat of their Government, and I congratulate you, gentlemen, on the prospect of a residence not to be changed.  Although there is cause to apprehend that accommodations are not now so complete as might be wished, yet there is great reason to believe that this inconvenience will cease with the present session.  It would be unbecoming the representatives of this nation to assemble for the first time in this solemn temple without looking up to the Supreme Ruler of the Universe and imploring His blessing.","Whilst the property and sovereignty of the Mississippi and its waters secure an independent outlet for the produce of the Western States and an uncontrolled navigation through their whole course, free from collision with other powers and the dangers to our peace from that source, the fertility of the country, its climate and extent, promise in due season important aids to our Treasury, an ample provision for our posterity, and a wide spread for the blessings of freedom and equal laws.  With the wisdom of Congress it will rest to take those ulterior measures which may be necessary for the immediate occupation and temporary government of the country; for its incorporation into our Union; for rendering the change of government a blessing to our newly adopted brethren; for securing to them the rights of conscience and of property; for confirming to the Indian inhabitants their occupancy and self-government, establishing friendly and commercial relations with them, and for ascertaining the geography of the country acquired.  Such materials, for your information, relative to its affairs in general as the short space of time has permitted me to collect will be laid before you when the subject shall be in a state for your consideration.",,,12,15,
15,"As one of the grand community of nations, our attention is irresistibly drawn to the important scenes which surround us.  If they have exhibited an uncommon portion of calamity, it is the province of humanity to deplore and of wisdom to avoid the causes which may have produced it.  If, turning our eyes homeward, we find reason to rejoice at the prospect which presents itself; if we perceive the interior of our country prosperous, free, and happy; if all enjoy in safety, under the protection of laws emanating only from the general will, the fruits of their own labor, we ought to fortify and cling to those institutions which have been the source of such real felicity and resist with unabating perseverance the progress of those dangerous innovations which may diminish their influence.","To The Senate and House of Representatives of the United States:  In calling you together, fellow citizens, at an earlier day than was contemplated by the act of the last session of Congress, I have not been insensible to the personal inconveniences necessarily resulting from an unexpected change in your arrangements, but matters of great public concernment have rendered this call necessary, and the interests you feel in these will supersede in your minds all private considerations.  Congress witnessed at their late session the extraordinary agitation produced in the public mind by the suspension of our right of deposit at the port of New Orleans, no assignment of another place having been made according to treaty.",,,12,15,
16,"With respect to the extent to which our naval preparations should be expected to appear, but just attention to the circumstances of every part of the Union will doubtless reconcile all.  A small force will probably continue to be wanted for actual service in the Mediterranean.  Whatever annual sum beyond that you may think proper to appropriate to naval preparations would perhaps be better employed in providing those articles which may be kept without waste or consumption, and be in readiness when any exigence calls them into use.","In order to remove every ground of difference possible with our Indian neighbors, I have proceeded in the work of settling with them and marking the boundaries between us.  That with the Choctaw Nation is fixed in one part and will be through the whole within a short time.  The country to which their title had been extinguished before the Revolution is sufficient to receive a very respectable population, which Congress will probably see the expediency of encouraging so soon as the limits shall be declared.",,,13,14,
17,"The arrival of our squadron dispelled the danger.  One of the Tripolitan cruisers having fallen in with and engaged the small schooner Enterprise, commanded by Lieutenant Sterret, which had gone as a tender to our larger vessels, was captured, after a heavy slaughter of her men, without the loss of a single one on our part.  The bravery exhibited by our citizens on that element will, I trust, be a testimony to the world that it is not the want of that virtue which makes us seek their peace, but a conscientious desire to direct the energies of our nation to the multiplication of the human race, and not to its destruction.","We are to view this position as an outpost of the United States, surrounded by strong neighbors and distant from its support; and how far that monopoly which prevents population should here be guarded against and actual habitation made a condition of the continuance of title will be for your consideration.  A prompt settlement, too, of all existing rights and claims within this territory presents itself as a preliminary operation.  In that part of the Indiana Territory which includes Vincennes the lines settled with the neighboring tribes fix the extinction of their title at a breadth of 24 leagues from east to west and about the same length parallel with and including the Wabash.",,,13,14,
18,"We can not, indeed, but all feel an anxious solicitude for the difficulties under which our carrying trade will soon be placed.  How far it can be relieved, otherwise than by time, is a subject of important consideration.  The judiciary system of the United States, and especially that portion of it recently erected, will of course present itself to the contemplation of Congress, and, that they may be able to judge of the proportion which the institution bears on the business it has to perform, I have caused to be procured from the several States and now lay before Congress an exact statement of all the causes decided since the first establishment of the courts, and of those which were depending when additional courts and judges were brought in to their aid.","These, fellow citizens, are the circumstances under which we meet, and we remark with special satisfaction those which under the smiles of Providence result from the skill, industry, and order of our citizens, managing their own affairs in their own way and for their own use, unembarrassed by too much regulation, unoppressed by fiscal exactions.  On the restoration of peace in Europe that portion of the general carrying trade which had fallen to our share during the war was abridged by the returning competition of the belligerent powers.  This was to be expected, and was just.",,,13,14,
19,"Agriculture, manufactures, commerce, and navigation, the four pillars of our prosperity, are then most thriving when left most free to individual enterprise.  Protection from casual embarrassments, however, may sometimes be seasonably interposed.  If in the course of your observations or inquiries they should appear to need any aid within the limits of our constitutional powers, your sense of their importance is a sufficient assurance they will occupy your attention.","Under these circumstances experience proves that works of wood will remain scarcely at all affected by time.  The great abundance of running water which this situation possesses, at heights far above the level of the tide, if employed as is practiced for lock navigation, furnishes the means for raising and laying up our vessels on a dry and sheltered bed.  And should the measure be found useful here, similar depositories for laying up as well as for building and repairing vessels may hereafter be undertaken at other navy-yards offering the same means.",,,13,14,
20,"I wish I could say that our situation with all the other Barbary States was entirely satisfactory.  Discovering that some delays had taken place in the performance of certain articles stipulated by us, I thought it my duty, by immediate measures for fulfilling them, to vindicate to ourselves the right of considering the effect of departure from stipulation on their side.  From the papers which will be laid before you you will be enabled to judge whether our treaties are regarded by them as fixing at all the measure of their demands or as guarding from the exercise of force our vessels within their power, and to consider how far it will be safe and expedient to leave our affairs with them in their present posture.","Nor have we used the power confided by the same act of prolonging the foreign debt by reloans, and of redeeming instead thereof an equal sum of the domestic debt.  Should, however, the difficulties of remittance on so large a scale render it necessary at any time, the power shall be executed and the money thus employed abroad shall, in conformity with that law, be faithfully applied here in an equivalent extinction of domestic debt.  When effects so salutary result from the plans you have already sanctioned; when merely by avoiding false objects of expense we are able, without a direct tax, without internal taxes, and without borrowing to make large and effectual payments toward the discharge of our public debt and the emancipation of our posterity from that mortal canker, it is an encouragement, fellow citizens, of the highest order to proceed as we have begun in substituting economy for taxation, and in pursuing what is useful for a nation placed as we are, rather than what is practiced by others under different circumstances.",,,13,14,
21,"Propositions had therefore been authorized for obtaining on fair conditions the sovereignty of New Orleans and of other possessions in that quarter interesting to our quiet to such extent as was deemed practicable, and the provisional appropriation of $2 millions to be applied and accounted for by the President of the United States, intended as part of the price, was considered as conveying the sanction of Congress to the acquisition proposed.  The enlightened Government of France saw with just discernment the importance to both nations of such liberal arrangements as might best and permanently promote the peace, friendship, and interests of both, and the property and sovereignty of all Louisiana which had been restored to them have on certain conditions been transferred to the United States by instruments bearing date the 30th of April last.  When these shall have received the constitutional sanction of the Senate, they will without delay be communicated to the Representatives also for the exercise of their functions as to those conditions which are within the powers vested by the Constitution in Congress.","I have in certain cases suspended or slackened these expenditures, that the Legislature might determine whether so many yards are necessary as have been contemplated.  The works at this place are among those permitted to go on, and 5 of the 7 frigates directed to be laid up have been brought and laid up here, where, besides the safety of their position, they are under the eye of the Executive Administration, as well as of its agents, and where yourselves also will be guided by your own view in the legislative provisions respecting them which may from time to time be necessary.  They are preserved in such condition, as well the vessels as whatever belongs to them, as to be at all times ready for sea on a short warning.",,,15,13,
22,"The measure adopted of establishing trading houses among them and of furnishing them necessaries in exchange for their commodities at such moderate prices as leave no gain, but cover us from loss, has the most conciliatory and useful effect on them, and is that which will best secure their peace and good will.  The small vessels authorized by Congress with a view to the Mediterranean service have been sent into that sea, and will be able more effectually to confine the Tripoline cruisers within their harbors and supersede the necessity of convoy to our commerce in that quarter.  They will sensibly lessen the expenses of that service the ensuing year.","But might not the general character and capabilities of a citizen be safely communicated to everyone manifesting a bona fide purpose of embarking his life and fortunes permanently with us, with restrictions, perhaps, to guard against the fraudulent usurpation of our flag, an abuse which brings so much embarrassment and loss on the genuine citizen and so much danger to the nation of being involved in war that no endeavor should be spared to detect and suppress it?  These, fellow citizens, are the matters respecting the state of the nation which I have thought of importance to be submitted to your consideration at this time.  Some others of less moment or not yet ready for communication will be the subject of separate messages.",,,15,13,
23,"The favorable and peaceable turn of affairs on the Mississippi rendered an immediate execution of that law unnecessary, and time was desirable in order that the institution of that branch of our force might begin on models the most approved by experience.  The same issue of events dispensed with a resort to the appropriation of $1.5 millions, contemplated for purposes which were effected by happier means.  We have seen with sincere concern the flames of war lighted up again in Europe, and nations with which we have the most friendly and useful relations engaged in mutual destruction.","Considering the ordinary chances of human life, a denial of citizenship under a residence of 14 years is a denial to a great proportion of those who ask it, and controls a policy pursued from their first settlement by many of these States, and still believed of consequence to their prosperity; and shall we refuse to the unhappy fugitives from distress that hospitality which the savages of the wilderness extended to our fathers arriving in this land?  Shall oppressed humanity find no asylum on this globe?  The Constitution indeed has wisely provided that for admission to certain offices of important trust a residence shall be required sufficient to develop character and design.",,,15,13,
24,"To The Senate and House of Representatives of the United States:  In calling you together, fellow citizens, at an earlier day than was contemplated by the act of the last session of Congress, I have not been insensible to the personal inconveniences necessarily resulting from an unexpected change in your arrangements, but matters of great public concernment have rendered this call necessary, and the interests you feel in these will supersede in your minds all private considerations.  Congress witnessed at their late session the extraordinary agitation produced in the public mind by the suspension of our right of deposit at the port of New Orleans, no assignment of another place having been made according to treaty.","But the great mass of public offices is established by law, and therefore by law alone can be abolished.  Should the Legislature think it expedient to pass this roll in review and try all its parts by the test of public utility, they may be assured of every aid and light which Executive information can yield.  Considering the general tendency to multiply offices and dependencies and to increase expense to the ultimate term of burthen which the citizen can bear, it behooves us to avail ourselves of every occasion which presents itself for taking off the surcharge, that it never may be seen here that after leaving to labor the smallest portion of its earnings on which it can subsist, Government shall itself consume the whole residue of what it was instituted to guard.",,,15,13,
25,"The favorable and peaceable turn of affairs on the Mississippi rendered an immediate execution of that law unnecessary, and time was desirable in order that the institution of that branch of our force might begin on models the most approved by experience.  The same issue of events dispensed with a resort to the appropriation of $1.5 millions, contemplated for purposes which were effected by happier means.  We have seen with sincere concern the flames of war lighted up again in Europe, and nations with which we have the most friendly and useful relations engaged in mutual destruction.",His cruisers were out.  Two had arrived at Gibraltar.  Our commerce in the Mediterranean was blockaded and that of the Atlantic in peril.,,,15,13,
26,"Fellow Citizens of the Senate and House of Representatives:  It is a circumstance of sincere gratification to me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which have for so many years afflicted our sister nations have at length come to an end, and that the communications of peace and commerce are once more opening among them.  Whilst we devoutly return thanks to the beneficent Being who has been pleased to breathe into them the spirit of conciliation and forgiveness, we are bound with peculiar gratitude to be thankful to Him that our own peace has been preserved through so perilous a season, and ourselves permitted quietly to cultivate the earth and to practice and improve those arts which tend to increase our comforts.","So far as we have yet learned, we have reason to believe that their dispositions are generally favorable and friendly; and with these dispositions on their part, we have in our own hands means which can not fail us for preserving their peace and friendship.  By pursuing an uniform course of justice toward them, by aiding them in all the improvements which may better their condition, and especially by establishing a commerce on terms which shall be advantageous to them and only not losing to us, and so regulated as that no incendiaries of our own or any other nation may be permitted to disturb the natural effects of our just and friendly offices, we may render ourselves so necessary to their comfort and prosperity that the protection of our citizens from their disorderly members will become their interest and their voluntary care.  Instead, therefore, of an augmentation of military force proportioned to our extension of frontier, I propose a moderate enlargement of the capital employed in that commerce as a more effectual, economical, and humane instrument for preserving peace and good neighborhood with them.",,,13,16,
27,"In our care, too, of the public contributions intrusted to our direction it would be prudent to multiply barriers against their dissipation by appropriating specific sums to every specific purpose susceptible of definition; by disallowing all applications of money varying from the appropriation in object or transcending it in amount; by reducing the undefined field of contingencies and thereby circumscribing discretionary powers over money, and by bringing back to a single department all accountabilities for money, where the examinations may be prompt, efficacious, and uniform.  An account of the receipts and expenditures of the last year, as prepared by the Secretary of the Treasury, will, as usual, be laid before you.  The success which has attended the late sales of the public lands shews that with attention they may be made an important source of receipt.","The friendly conduct of the Governments from whose officers and subjects these acts have proceeded, in other respects and in places more under their observation and control, gives us confidence that our representations on this subject will have been properly regarded.  While noticing the irregularities committed on the ocean by others, those on our own part should not be omitted nor left unprovided for.  Complaints have been received that persons residing within the United States have taken on themselves to arm merchant vessels and to force a commerce into certain ports and countries in defiance of the laws of those countries.",,,13,16,
28,"To this state of general peace with which we have been blessed, one only exception exists.  Tripoli, the least considerable of the Barbary States, had come forward with demands unfounded either in right or in compact, and had permitted itself to denounce war on our failure to comply before a given day.  The style of the demand admitted but one answer.","These, fellow citizens, are the principal matters which I have thought it necessary at this time to communicate for your consideration and attention.  Some others will be laid before you in the course of the session; but in the discharge of the great duties confided to you by our country you will take a broader view of the field of legislation.  Whether the great interests of agriculture, manufactures, commerce, or navigation can within the pale of your constitutional powers be aided in any of their relations; whether laws are provided in all cases where they are wanting; whether those provided are exactly what they should be; whether any abuses take place in their administration, or in that of the public revenues; whether the organization of the public agents or of the public force is perfect in all its parts; in fine, whether anything can be done to advance the general good, are questions within the limits of your functions which will necessarily occupy your attention.",,,13,16,
29,His cruisers were out.  Two had arrived at Gibraltar.  Our commerce in the Mediterranean was blockaded and that of the Atlantic in peril.,"So far as we have yet learned, we have reason to believe that their dispositions are generally favorable and friendly; and with these dispositions on their part, we have in our own hands means which can not fail us for preserving their peace and friendship.  By pursuing an uniform course of justice toward them, by aiding them in all the improvements which may better their condition, and especially by establishing a commerce on terms which shall be advantageous to them and only not losing to us, and so regulated as that no incendiaries of our own or any other nation may be permitted to disturb the natural effects of our just and friendly offices, we may render ourselves so necessary to their comfort and prosperity that the protection of our citizens from their disorderly members will become their interest and their voluntary care.  Instead, therefore, of an augmentation of military force proportioned to our extension of frontier, I propose a moderate enlargement of the capital employed in that commerce as a more effectual, economical, and humane instrument for preserving peace and good neighborhood with them.",,,13,16,
30,"I sent a small squadron of frigates into the Mediterranean, with assurances to that power of our sincere desire to remain in peace, but with orders to protect our commerce against the threatened attack.  The measure was seasonable and salutary.  The Bey had already declared war.","The friendly conduct of the Governments from whose officers and subjects these acts have proceeded, in other respects and in places more under their observation and control, gives us confidence that our representations on this subject will have been properly regarded.  While noticing the irregularities committed on the ocean by others, those on our own part should not be omitted nor left unprovided for.  Complaints have been received that persons residing within the United States have taken on themselves to arm merchant vessels and to force a commerce into certain ports and countries in defiance of the laws of those countries.",,,13,16,
31,"Another circumstance which claims attention as directly affecting the very source of our navigation is the defect or the evasion of the law providing for the return of sea men, and particularly of those belonging to vessels sold abroad.  Numbers of them, discharged in foreign ports, have been thrown on the hands of our consuls, who, to rescue them from the dangers into which their distresses might plunge them and save them to their country, have found it necessary in some cases to return them at the public charge.  The cession of the Spanish Province of Louisiana to France, which took place in the course of the late war, will, if carried into effect, make a change in the aspect of our foreign relations which will doubtless have just weight in any deliberations of the Legislature connected with that subject.","This country, among the most fertile within our limits, extending along the Mississippi from the mouth of the Illinois to and up to the Ohio, though not so necessary as a barrier since the acquisition of the other bank, may yet be well worthy of being laid open to immediate settlement, as its inhabitants may descend with rapidity in support of the lower country should future circumstances expose that to foreign enterprise.  As the stipulations in this treaty involve matters with the competence of both Houses only, it will be laid before Congress as soon as the Senate shall have advised its ratification.  With many of the other Indian tribes improvements in agriculture and household manufacture are advancing, and with all our peace and friendship are established on grounds much firmer than heretofore.",,,14,15,
32,"These, fellow citizens, are the circumstances under which we meet, and we remark with special satisfaction those which under the smiles of Providence result from the skill, industry, and order of our citizens, managing their own affairs in their own way and for their own use, unembarrassed by too much regulation, unoppressed by fiscal exactions.  On the restoration of peace in Europe that portion of the general carrying trade which had fallen to our share during the war was abridged by the returning competition of the belligerent powers.  This was to be expected, and was just.","Its extraordinary increase in times of foreign war will be the proper and sufficient fund for any measures of safety or precaution which that state of things may render necessary in our neutral position.  Remittances for the installments of our foreign debt having been found practicable without loss, it has not been thought expedient to use the power given by a former act of Congress of continuing them by reloans, and of redeeming instead thereof equal sums of domestic debt, although no difficulty was found in obtaining that accommodation.  The sum of $50 thousands appropriated by Congress for providing gun boats remains unexpended.",,,14,15,
33,"To the Senate and House of Representatives:  When we assemble together, fellow citizens, to consider the state of our beloved country, our just attentions are first drawn to those pleasing circumstances which mark the goodness of that Being from whose favor they flow and the large measure of thankfulness we owe for His bounty.  Another year has come around, and finds us still blessed with peace and friendship abroad; law, order, and religion at home; good affection and harmony with our Indian neighbors; our burthens lightened, yet our income sufficient for the public wants, and the produce of the year great beyond example.","They were sensible that the continuance of that privation would be more injurious to our nation than any consequences which could flow from any mode of redress, but reposing just confidence in the good faith of the Government whose officer had committed the wrong, friendly and reasonable representations were resorted to, and the right of deposit was restored.  Previous, however, to this period we had not been unaware of the danger to which our peace would be perpetually exposed whilst so important a key to the commerce of the Western country remained under foreign power.  Difficulties, too, were presenting themselves as to the navigation of other streams which, arising within our territories, pass through those adjacent.",,,14,15,
34,"A small force in the Mediterranean will still be necessary to restrain the Tripoline cruisers, and the uncertain tenure of peace with some other of the Barbary Powers may eventually require that force to be augmented.  The necessity of procuring some smaller vessels for that service will raise the estimate, but the difference in their maintenance will soon make it a measure of economy.  Presuming it will be deemed expedient to expend annually a convenient sum toward providing the naval defense which our situation may require, I can not but recommend that the first appropriations for that purpose may go to the saving what we already possess.","The friendly disposition of the Governments from whose agents they have proceeded, as well as their wisdom and regard for justice, leave us in reasonable expectation that they will be rectified and prevented in future, and that no act will be countenanced by them which threatens to disturb our friendly intercourse.  Separated by a wide ocean from the nations of Europe and from the political interests which entangle them together, with productions and wants which render our commerce and friendship useful to them and theirs to us, it can not be the interest of any to assail us, nor ours to disturb them.  We should be most unwise, indeed, were we to cast away the singular blessings of the position in which nature has placed us, the opportunity she has endowed us with of pursuing, at a distance from foreign contentions, the paths of industry, peace, and happiness, of cultivating general friendship, and of bringing collisions of interest to the umpirage of reason rather than of force.",,,14,15,
